,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0.1
1523,6,0.17,6,2.67,4,21,5,23,24.52,622.26,524.01,0.83,8,17,65,61,1
270,0,0.55,0,0,18,143,18,67,42.08,10770.43,2856.25,0.49,0,108,285,69,0
353,9,0.42,18,2.11,1,40,4,26,27.51,577.93,535,0.36,19,31,57,46,0
354,0,0.06,0,0,1,1,1,5,61.05,339.19,610.53,1,0,2,77,22,0
916,0,0.25,2,2,2,7,1,8,18.89,33.21,106.27,0.5,2,7,16,13,0
240,9,0.08,4,2,2,23,1,37,43.31,1954.27,1234.28,0.33,4,22,126,58,1
352,0,0.1,0,0,1,1,1,10,20.35,80.47,171.67,1,0,2,27,12,0
1372,1.521704426,0.120434089,6.05787847,2,1.492765191,20.07234809,1,35.98553038,31.95907493,1100.455159,793.1430974,0.209421215,6.05787847,17.05787847,103.8408342,52.52170443,1
416,23,0.31,20,2.6,11,49,17,46,29.38,1363.34,849.14,1,26,34,95,118,0
1046,0,0.05,0,0,1,2,1,19,40.08,405.77,541.03,1,0,3,73,25,0
1188,0,0.21,0,0,1,40,8,31,29.53,3679.22,1398.44,0.8,0,32,141,50,0
351,14.79420726,0.173826218,17.58841452,2.119613817,6,47.9710363,3.392276346,53.60772365,30.58801843,3791.626048,1442.825933,0.279517272,18.78455269,38.98069086,152.7942073,101.8328255,1
65,6,0.17,12,2.17,7,37,3,44,34.95,2651.53,1291.45,0.38,13,31,153,72,0
1243,0,0.18,2,2,1,6,1,11,6.45,143.25,128.93,0.5,2,6,23,13,0
30,1,0.45,6,2.67,3,18,4,11,17.34,136.4,206.32,0.8,8,15,28,17,0
1265,7.702413828,0.101903447,6,2.099691368,3.148793086,18.44637926,1.595172344,20.44637926,39.09266237,646.7236867,672.5711427,0.33629999,6.297586172,16.14879309,77.76810371,66.10724148,1
1316,6.433276696,0.288378363,4.657094311,2.584687343,1.776182385,17.29983009,1,19.11908807,32.05059245,494.5609125,527.8334134,0.324721325,7.761823852,12.86655339,68.37162276,37.76182385,1
1504,9.258234949,0.190970582,9.677646599,2.07129998,3.258234949,25.7105864,1,27.93588155,29.85165025,507.922281,513.3773114,0.170641185,10.09705825,21.45235145,62.32411454,63.45235145,1
175,0,0.44,0,0,2,13,1,9,15.82,179.69,226.18,0.25,0,11,28,13,0
168,25,0.21,10,2.2,6,31,3,32,25.63,1399.35,803.46,0.43,11,26,92,92,0
985,0.537971496,0.23924057,4,2,1.865507126,9.268985748,1,10.05854988,15.45220243,109.5144707,174.211627,0.33,4,8.268985748,22.80695724,18.21043587,1
1359,5,0.21,10,2,5,23,1,25,25.22,807.1,605.33,0.17,10,19,80,45,0
532,5,0.14,4,2,1,11,1,22,25.02,450.35,450.35,0.33,4,10,63,39,0
1173,4.893799576,0.1161062,4.336279745,2.610620042,2.778759915,16.28317953,2.221240085,30.23007932,23.66795661,938.8076231,625.6357406,0.688496034,4.946899788,14.50441962,79.35395822,50.46015864,1
522,5.822100058,0.130315715,6.031571511,2.13304186,3.612628604,18.69155738,1,17.48208593,82.76901545,711.7084642,1014.643041,0.342768711,6.837885813,15.86945732,116.7115998,51.73891465,1
1520,0.802098907,0.233958022,4,2,1.799475273,9.401049453,1,9.596326913,15.1979798,110.1107383,173.127384,0.33,4,8.401049453,23.20314836,18.80472254,1
438,17,8.55,186,2,1,330,1,10,382.67,3592.83,4974.68,0.01,186,238,1063,41,0
239,6.793895513,0.176030522,8.396947756,2.669274312,4.396947756,26.0038153,3.404578365,34.19847388,29.19446937,1646.785819,925.639913,0.414465467,10.40076306,20.80152612,119.1641361,58.19847388,1
765,3,0.08,0,0,1,1,1,12,5.92,248.76,162.83,1,0,2,36,18,0
59,5.395768433,0.142447105,5.697884216,2,1.848942108,16.94259476,1,20.20846313,31.70842874,415.316754,486.8183762,0.262084631,5.697884216,15.09365265,55.87009994,48.1873053,1
405,5.492797394,0.12821329,4.657063192,2,1.164265798,13.98559479,1,17.47839218,32.2015753,493.7551371,532.5074653,0.308645446,4.657063192,12.65706319,70.22188665,48.80692378,1
711,46,0.25,0,0,1,2,1,4,10.63,8.3,39.86,1,0,3,7,55,0
478,0,0.5,0,0,1,2,1,2,9.83,2.18,19.65,1,0,3,4,6,0
162,7.03095403,0.14030954,1.03095403,1.03095403,1.515477015,9.061908059,1,10.09286209,32.51563525,27.01365789,125.7373608,0.742261493,1.03095403,9.546431044,20.54643104,30.03095403,1
888,12.72369068,0.156798008,11.10523726,2.283201992,1.425436439,30.33765672,3,38.12718219,46.64578126,1729.845154,1196.946868,0.451097246,12.5306737,24.35960165,159.806983,80.14912712,1
859,6.21684654,0.165498528,6.766699371,3.029806025,2.383349685,27.84995094,4.699901887,31.84995094,26.52103855,1525.962826,843.9776472,0.557657182,9.849950944,22.38334969,99.0503434,62.75024528,1
1182,0,0.27,4,2,2,8.79486036,1,7.615418921,21.28899883,28.19482914,103.8274123,0.33,4,7.79486036,15,16,1
1542,10.87075345,0.113877396,8.258493099,2,3.87075345,23.12924655,1,39.61226035,34.70547758,922.211015,755.9176282,0.196122604,8.258493099,20,106.0339724,70.2584931,1
471,0,0.4,0,0,3,16,3,10,18.8,126.39,206.82,0.75,0,14,22,12,0
184,15,0.22,8,2,3,17,1,18,15.77,914.46,509.48,0.2,8,14,59,63,0
701,2.149403786,0.171402385,10,2,2.214940379,26.35517886,2.570119243,25.22410568,25.3891003,867.0532887,612.7844701,0.429069675,10,22.35517886,69.0366612,48.44821136,1
1288,6,0.27,26,2.23,7,69,9,55,34.37,8786.22,2331.48,0.53,29,54,224,75,0
494,5.341210362,0.101605696,12.24085437,2.171605696,5.959857604,47.30106797,4,72.81935922,76.23278491,4350.69131,2441.572535,0.494982201,13.28099677,41.14049838,219.7591456,115.4415664,1
1216,12,0.21,0,0,1,30,5,36,42.42,821.16,791.84,0.63,0,24,103,65,0
380,9,0.31,0,0,4,63,9,45,67.49,1650.75,1416.11,0.64,0,51,120,211,0
1381,16,0.18,2,2,2,9,1,11,25.93,51.86,155.59,0.5,2,9,24,37,0
692,0,0.14,0,0,1,2,1,7,18.28,25.38,91.38,1,0,3,14,12,0
610,5.288907465,0.117110925,10.5666388,2,1,24.41659701,1,45.57781493,29.77895499,2216.173217,1089.477611,0.170055881,10.5666388,20.1332776,139.8611343,74.57781493,1
1321,4.329605517,0.096815779,6.01118345,2,1.664802758,17.68716966,1,38.32401379,28.71508234,1253.943785,804.7677618,0.276368441,6.01118345,15.68157793,91.67039448,57.32401379,1
339,0,0.33,0,0,2,6,1,6,11.86,49.5,102.8,0.5,0,6,14,7,0
124,4.268063641,0.211654637,2.536127282,2,1.731936359,6.340318204,1,10.39161816,16.2369577,96.22613505,166.3371804,0.454429181,2.536127282,6.072254563,25.12355451,23.6596818,1
974,8.324298202,0.274593419,8.324298202,2.629324781,2.837850899,27.97289461,2.675701798,16.60817994,25.96106489,608.3723182,532.8539547,0.411626324,10.90537275,22.22967095,66.1621491,55.1892545,1
275,19,0.08,2,2,2,13,1,23,24.41,404.63,421.66,0.5,2,13,58,67,0
986,5.279755206,0.112797552,2,2,1.860122397,7.860122397,1,10.69938801,31.5175422,183.0923055,321.4751558,0.5,2,7.860122397,44.74110157,33.8601224,1
1144,1.560571388,0.200636572,4.624228555,2,1.936342833,11.56057139,1,9.566742945,19.81525484,225.4327966,283.3899896,0.305030858,4.624228555,10.24845711,37.56057139,24.43325705,1
1259,0,0.16,4,2,3,15,1,19,30.83,602.19,578.1,0.33,4,14,84,28,0
806,2,0.15,3.900474708,2,1.049762646,9.950237354,1,17.60189883,20.3344328,168.8986676,248.5457882,0.33845965,3.900474708,9,43.3530856,27.75118677,1
1156,8,0.108911536,6,2,2.763605794,17.76360579,1,20.70918262,37.44400285,663.0726521,663.2959879,0.25,6,15.76360579,75.74490429,61.79932747,1
672,9.45245748,0.086426276,2.82131378,2,2.13688563,16.68442815,1,27.58934311,46.33391807,439.5712724,603.0718684,0.458934311,2.82131378,16.27377126,60.17868622,58.2622874,1
23,5,0.16,14,2,3,36,1,27,34.3,1643.09,1007.22,0.13,14,30,120,67,1
1189,4.515477702,0.187422611,7.257738851,3.14489403,3.257738851,27.42782644,5.113391723,33.62886943,25.63728956,1630.29577,862.9036785,0.588194825,10.68556529,21.37113057,105.7784315,57.62886943,1
203,8,0.106526355,4.347364472,2,3.826317764,19.23947665,1,23.71842994,42.38781758,670.8233632,715.401014,0.229342056,4.347364472,16.82631776,81.65263553,68.23947665,1
371,1,0.27,2,3,2,9,3,11,19.95,100.97,190.4,1,3,8,26,20,0
49,15,0.4,2,2,1,5,1,5,15.23,30.46,91.38,0.5,2,5,15,32,0
824,0,0.13,0,0,1,7,1,8,34.88,7.75,69.76,1,0,8,15,11,0
1430,0,0.8,0,0,1,13,4,5,7.17,57.36,86.04,1,0,11,16,9,0
670,9.932108043,0.18932108,11.79632413,2.318797827,5.864216086,35.35502641,1,32.66054021,52.46587795,743.2432224,836.5032919,0.114752437,13.72843217,28.5247563,98.71005281,76.87978271,1
617,46,0.37,12,4.67,7,62,19,54,54.16,3507.4,1849.21,0.83,84,41,211,125,0
271,0,0.22,0,0,2,7,1,9,16.35,41.39,110.36,0.5,0,7,15,12,0
428,9.894552227,0.137891045,4.210895546,2,2.210895546,20.63268664,1,19.05447773,44.09411394,268.8030846,458.8173339,0.321564178,4.210895546,19.52723887,53.89805992,55.1599255,1
720,0,0.5,0,0,1,2,1,2,7.74,0.97,11.61,1,0,3,3,4,0
1211,9,0.26,10,2.2,2,32,1,35,23.31,1173.84,701.84,0.1,11,24,79,71,0
123,27,0.22,20,2,5,49,7,42,37.79,1889.28,1133.57,0.64,20,40,123,111,0
1376,0.332566738,0.23669733,3.667433262,2,1.166283369,8.833716631,1,10.66743326,14.91317167,95.95760822,160.3334436,0.358268173,3.667433262,8,25.50114989,22.16628337,1
237,6,0.28,4,3,3,17,5,17,21.77,498.75,442.08,1,6,14,58,36,0
1203,0,0.33,0,0,2,21,6,18,19.44,460.21,401.29,1,0,17,47,20,0
198,0,0.29,0,0,1,5,1,7,11.63,33.5,83.76,0.5,0,5,14,10,0
199,2.48343201,0.121483432,2.593372804,2.851656799,1.851656799,13.18674561,2.703313598,25.03840241,23.14570966,936.2721664,608.1237741,0.888742599,3.445029603,12.03840241,69.67544404,40.67017762,1
914,0,0.17,0,0,1,1,1,3,17.58,35.16,105.49,1,0,2,19,10,1
1102,3.598243631,0.090417123,3.464324841,0.672656407,2.443468684,11.10428079,1,22.33040605,28.14749703,791.7927008,607.640887,0.743062574,4.041712315,9.794730893,92.1756311,45.99121815,1
1247,6.432693975,0.152692241,6,2.525047519,3.783653013,20.35095904,4.134612051,22.35095904,28.22386042,628.4778124,561.7690397,0.704518747,7.567306025,16.78365301,68.24520481,62.29808192,1
1235,0,0.45,0,0,3,18,1,11,16.12,183.28,230.7,0.2,0,15,29,13,0
99,0,0.8,2,5,1,9,1,5,17.92,40.79,114.71,0.25,5,7,23,10,0
332,0,0.2,2,2,1,7,1,10,14.63,77.25,142.62,0.5,2,7,20,16,0
51,1.281533261,0.19873867,2.718466739,2,1.640766631,8.359233369,1,9.718466739,17.17645683,98.91838377,174.6391139,0.438930327,2.718466739,8,24.07770011,22.64076663,1
70,0,0.33,0,0,3,16,1,12,22.77,168.91,263.11,0.25,0,14,43,19,0
1362,0,0.25,2,2,2,8,1,8,16.19,80.24,152.93,0.5,2,8,19,17,0
76,0,0.5,2,2,1,6,1,4,12.11,27.7,77.71,0.5,2,6,10,10,0
1000,0,0.38,2,3,3,9,1,8,13.24,273.66,255.41,0.33,3,8,40,13,0
922,0,0.25,2,2,2,6,1,8,16.23,18.85,74.23,0.5,2,6,11,14,0
141,2.978453341,0.170215467,2,2,1,6.425493334,1,11.55296001,17.50872321,185.2793216,240.6670976,0.5,2,6.425493334,37,23.23338669,1
1446,8.746551346,0.315181982,9.442911709,2.516436756,1.860727927,30.49310269,1,13.11417658,29.16428801,594.410244,556.1459859,0.12949809,12.02509549,24.18946306,70.48180182,50.72145585,1
1179,11.798245,0.156867171,8,2,4.656641428,26.798245,1,29.14160357,51.53430828,438.5790482,633.2940933,0.2,8,23.798245,66.59649,64.19298,1
988,4.849560231,0.37368153,3.939824092,2,1.030087954,9.939824092,1,6.150439769,11.64735388,104.68,147.4608398,0.335114952,3.939824092,8.969912046,20.51149522,19.87964818,1
907,4,0.05,0,0,1,1,1,15,39.41,632.68,669.9,1,0,2,104,34,0
993,0,0.3,0,0,9,51,3,43,49.68,1185.24,1029.46,0.23,0,40,100,45,0
1531,6.761571547,0.17735857,9.00514291,2.248714273,5.502571455,28.00514291,2.492285636,27.76671446,33.96156313,546.7431119,573.1683385,0.376432846,9.751285727,23.75642864,77.26928591,58.54371473,1
220,6,0.07,2,2,1,7,1,27,32.9,659.89,625.16,0.5,2,7,95,48,0
331,1,0.04,0,0,1,1,1,23,52.34,499.87,686.26,1,0,2,87,30,1
926,7,0.3,2,3,2,8,3,8,16.55,94.02,167.37,1,3,7,24,31,0
185,6,0.12,4,2.5,3,17,3,29,52.95,922.38,937.57,0.75,5,15,125,53,0
381,37,0.1,0,0,2,20,1,25,33.43,679.7,639.53,0.33,0,19,66,91,0
1277,14,0.21,2,3,2,9,3,12,16.35,517.23,390.14,1,3,8,48,49,0
261,0,0.33,0,0,1,1,1,2,9.05,2,18.09,1,0,2,5,6,0
1420,0,0.5,0,0,5,26,1,12,22.66,262.35,327.09,0.17,0,22,56,19,0
1027,7,0.15,6,2,2,15,1,26,24.57,296.09,361.88,0.25,6,13,53,46,0
1435,0,0.11,2,2,1,7,1,19,14.66,1685.53,666.8,0.5,2,7,121,22,0
1450,8.014935468,0.135522741,8,2,5.05974187,25.61201601,1,51.02987094,32.82554303,2279.404521,1160.434037,0.144178549,8,19.5672096,131.3431776,90.17922561,1
135,0,0.43,0,0,2,9,3,7,12.97,16.61,62.27,1,0,8,10,9,0
1461,0,0.33,0,0,1,6,1,6,16.07,18.08,72.34,0.5,0,6,14,9,0
490,0,0.38,0,0,12,88,11,46,37.9,3654.67,1579.02,0.58,0,71,154,54,0
527,10.48382712,0.072388149,2.206469151,2.051617288,2,14.69029627,1.206469151,29.7611851,49.90477355,368.5408301,570.9925641,0.525808644,2.309703726,14.48382712,56.24501222,64.41913562,1
1548,26,0.06,2,3,2,14,3,50,79.97,1769.4,1595.93,1,3,13,159,128,0
774,3.32105395,0.132385947,2,2,2,8.559648683,1,10,23.94505996,182.8697024,276.679745,0.5,2,8.559648683,37.60526975,27.84386448,1
67,0,0.29,2,2,1,7,1,7,11.44,72.99,122.62,0.5,2,7,15,12,0
383,5.975336016,0.13987668,3.975336016,2,3.012331992,13.02466398,1,20.11098793,30.41865457,388.6131135,461.2769254,0.329013441,3.975336016,12.01233199,60.95067203,38.1603159,1
1252,0,0.24,0,0,5,21,1,21,23.75,294.21,354.63,0.2,0,18,41,25,0
309,8.962541868,0.024351589,5.740635467,2,1.564841133,17.96254187,1,178.1584865,171.9196866,28418.30219,9336.928207,0.273429347,5.740635467,16.09222413,809.2910111,236.0173079,1
1212,13.47408328,0.160533499,12.94816656,2,3.789633312,34.63261653,1,33.42073338,65.05404474,1883.409469,1481.553635,0.151036669,12.94816656,29.15853325,168.0563828,81.26523306,1
976,7.148031985,0.19111024,8.370079961,2.489637761,2,22.9251999,1.074015992,33.29606397,15.69235214,1678.111657,676.3633344,0.14407088,10.37007996,17.74015992,93.8866237,55.88819191,1
940,23.66339442,0.119497248,12.82403678,2.04874312,6.924587189,51.26119277,2.462293595,51.95954152,81.1441843,2545.323227,1927.531367,0.288994496,13.31146797,45.36174318,208.0306417,118.0852295,1
1539,9,0.13,0,0,1,3,1,7,20.94,18.61,83.76,1,0,4,14,23,0
869,0,0.33,0,0,1,1,1,3,10.8,3.75,27,1,0,2,6,5,0
718,12,0.32,8,2.75,3,24,5,23,18.33,1166.68,620.46,0.63,11,18,79,54,0
415,12,0.15,2,2,2,7,1,10,18.36,106.13,187.3,0.5,2,7,25,44,0
1098,0,1,2,3,1,6,1,2,9.49,6.46,33.22,0.5,3,6,7,4,0
1040,15,0.07,0,0,1,5,1,12,38.33,65.39,212.4,1,0,6,31,38,0
29,9,0.1,10,2.2,4,30,5,27,35.15,3184.9,1419.56,0.71,11,25,152,93,1
367,4.267740668,0.24172399,6.178493778,2.217849378,1.363082296,19.62472822,1,9.452329186,27.46494992,580.838394,535.7587985,0.250121895,7.267740668,16.44623445,72.73225933,34.44013971,1
1421,0,0.2,0,0,1,2,1,5,13.32,9.06,46.6,1,0,3,8,8,0
485,0,0.25,4,2,2,9,1,11,15.97,108.3,176.42,0.33,4,8,22,17,1
631,6.044508167,0.212225408,6.089016333,2.170375681,2,15.49652994,1,9.184972778,25.90856668,241.1847812,335.3472389,0.275104102,6.770519056,12.77051906,45.54797822,36.1335245,1
602,10,0.07,2,2,2,16,1,28,49.24,438.88,623.68,0.5,2,16,61,61,1
350,9,0.32,12,2.5,5,32,7,28,22.91,1268.67,723.31,0.7,15,24,94,60,0
818,0,0.15,0,0,2,9,1,13,15.26,161.78,210.83,0.5,0,9,31,20,0
1342,0,0.5,0,0,4,21,1,10,19.67,194.94,262.71,0.2,0,18,46,18,0
366,1,1,0,0,1,1,1,1,0,0,0,1,0,2,1,4,0
1108,18.87011277,0.141839703,24.61902672,2.074978279,6.686142436,58.79865285,2.874456974,89.15595246,35.15144613,13908.08685,2855.080902,0.208160297,25.55625521,46.551911,304.2278513,147.5823204,1
598,0,0.04,0,0,1,4,1,25,22.57,1347.86,740,1,0,5,97,35,0
1213,8,0.24,6,2.33,18,58,1,79,29.08,4593.11,1550.56,0.05,7,41,181,122,0
427,0,0.33,0,0,1,2,1,2,9.05,2,18.09,1,0,3,5,6,0
679,0,0.36,0,0,1,14,1,11,17.43,146.01,214.05,0.25,0,12,31,14,0
964,0.682152116,0.277286085,0,0,1,1,1,2.658923942,10.70002377,4.546124676,29.55662489,1,0,2,7,8.658923942,1
413,5.225043509,0.148082318,0.516637661,0.25831883,1.129159415,7.129159415,1,7.387478245,28.9465496,25.0819571,114.2163085,0.913463192,0.516637661,7.870840585,18.48336234,27.3209276,1
743,3.385079514,0.08770159,2.385079514,1.192539757,1,8.155238542,1,18.82611085,41.75620966,495.1415799,607.057472,0.600499181,2.385079514,7.962698785,79.24849158,40.13658793,1
1398,7.366192661,0.26901422,8.049288992,3.212325458,3.366192661,28.75702982,4.950711008,29.70774083,27.13851113,791.2227912,581.9911302,0.551162729,12.0246445,21.75702982,76.29573395,54.95418579,1
678,0,0.5,0,0,1,1,1,2,10.75,9.56,43.02,1,0,2,8,4,0
1176,1,0.36,0,0,3,18,3,14,25.3,156.79,267.19,0.6,0,15,29,17,0
982,0.934821135,0.185977683,3.86964227,2,1,9.271873972,1,12.73928454,16.63701739,186.9452196,236.2734079,0.383147358,3.86964227,8.337052837,36.06517887,23.47856908,1
1029,8,0.05,0,0,1,11,1,11,118.03,66.71,376.47,1,0,12,37,134,0
1068,3,0.06,0,0,1,2,1,15,19.12,302.98,322.91,1,0,3,41,30,0
1061,37.93194811,0.143106494,15.63490912,2.091417143,3,37.10088317,1,51,30.87454009,6756.820849,1750.998548,0.130544415,16.46597405,29.45236368,204.7381816,138.6813508,1
479,0,0.6,0,0,3,10,1,5,13.34,74.13,133.44,0.33,0,9,22,6,0
1261,2.761023991,0.195661439,5.522047982,2,1,13.04409596,1,18,13.23939017,155.574612,191.1521057,0.269118081,5.522047982,11.28307197,28.01849619,28,1
44,6.872286605,0.149056751,6.711184692,1.677796173,1.838898086,16.10016556,1,24.67779617,25.25198079,502.487362,467.9787179,0.328881531,6.711184692,13.74457321,56.79966889,53.48914642,1
941,5,1,0,0,1,1,1,1,0,0,0,1,0,2,1,8,0
244,2,0.18,2,2,1,6,1,11,14.74,111.48,172,0.5,2,6,29,21,0
1514,0,0.17,0,0,1,4,1,6,15.36,15.06,64.53,1,0,5,12,8,0
730,0,0.3,0,0,1,10,1,10,17.36,580.9,426.06,0.33,0,9,55,16,0
1385,0,0.3,0,0,1,12,1,10,12.81,85,140,0.33,0,11,18,12,0
